State,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.People,Fatality.Perc,Total.Accidents,Avg.Plane.Capacity
NM,131.0,68.0,62.0,368.0,629.0,20.83,342,1.84
UT,179.0,66.0,68.0,623.0,936.0,19.12,385,2.43
AL,112.0,68.0,58.0,386.0,624.0,17.95,334,1.87
NH,27.0,11.0,20.0,96.0,154.0,17.53,91,1.69
AR,96.0,79.0,64.0,352.0,591.0,16.24,376,1.57
MS,75.0,45.0,33.0,325.0,478.0,15.69,215,2.22
OK,111.0,95.0,68.0,475.0,749.0,14.82,335,2.24
OR,123.0,90.0,68.0,591.0,872.0,14.11,489,1.78
ME,40.0,51.0,28.0,186.0,305.0,13.11,161,1.89
WI,135.0,118.0,92.0,764.0,1109.0,12.17,438,2.53
KY,63.0,51.0,51.0,355.0,520.0,12.12,196,2.65
MT,98.0,69.0,56.0,679.0,902.0,10.86,310,2.91
SD,55.0,59.0,14.0,393.0,521.0,10.56,139,3.75
SC,91.0,80.0,63.0,636.0,870.0,10.46,306,2.84
AZ,251.0,128.0,125.0,1900.0,2404.0,10.44,853,2.82
ID,103.0,113.0,80.0,724.0,1020.0,10.1,516,1.98
IN,79.0,66.0,70.0,716.0,931.0,8.49,345,2.7
KS,63.0,73.0,49.0,561.0,746.0,8.45,346,2.16
OH,158.0,96.0,82.0,1593.0,1929.0,8.19,509,3.79
NE,59.0,35.0,81.0,561.0,736.0,8.02,209,3.52
TN,106.0,90.0,71.0,1066.0,1333.0,7.95,334,3.99
IA,65.0,51.0,43.0,676.0,835.0,7.78,242,3.45
LA,100.0,74.0,53.0,1062.0,1289.0,7.76,307,4.2
WV,44.0,29.0,33.0,471.0,577.0,7.63,100,5.77
AK,309.0,437.0,255.0,3243.0,4244.0,7.28,1554,2.73
ND,28.0,31.0,26.0,312.0,397.0,7.05,155,2.56
CT,34.0,35.0,33.0,383.0,485.0,7.01,131,3.7
TX,536.0,415.0,420.0,6524.0,7895.0,6.79,1807,4.37
CA,788.0,609.0,533.0,10088.0,12018.0,6.56,2192,5.48
WA,170.0,161.0,128.0,2223.0,2682.0,6.34,693,3.87
WY,65.0,60.0,65.0,842.0,1032.0,6.3,217,4.76
MI,144.0,112.0,104.0,2028.0,2388.0,6.03,526,4.54
FL,496.0,379.0,336.0,7457.0,8668.0,5.72,1651,5.25
NC,155.0,157.0,111.0,2287.0,2710.0,5.72,545,4.97
MO,128.0,83.0,85.0,2093.0,2389.0,5.36,436,5.48
NV,123.0,91.0,61.0,2204.0,2479.0,4.96,364,6.81
VA,125.0,91.0,58.0,2285.0,2559.0,4.88,399,6.41
PA,119.0,216.0,108.0,2097.0,2540.0,4.69,478,5.31
CO,213.0,217.0,121.0,4306.0,4857.0,4.39,726,6.69
NY,272.0,160.0,139.0,5780.0,6351.0,4.28,521,12.19
GA,256.0,162.0,101.0,5791.0,6310.0,4.06,674,9.36
MN,85.0,81.0,82.0,1876.0,2124.0,4.0,392,5.42
MD,54.0,59.0,35.0,1222.0,1370.0,3.94,244,5.61
MA,50.0,40.0,65.0,1918.0,2073.0,2.41,225,9.21
NJ,68.0,64.0,81.0,3357.0,3570.0,1.9,303,11.78
IL,116.0,103.0,100.0,6366.0,6685.0,1.74,541,12.36
